date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:57	162509/162509	---MCZ	200	added ('OK')	text/html	etag:W/%221254c72a05260b4efb29103d6a9c4c60--gzip%22	https://luxury-barber.co.uk/shop/p/package-beard-oil-beard-shampoo-beard-moisturiser-argan-oil-beard-wax	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/package-beard-oil-beard-shampoo-beard-moisturiser-argan-oil-beard-wax.html	(from https://luxury-barber.co.uk/shop)
13:33:57	339655/339655	---M--	200	added ('OK')	image/jpeg	etag:CK3Oy8fcgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/e5b10590-545c-49bf-8de8-014ad05e6faf/Untitled+image+(20).jpeg	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/e5b10590-545c-49bf-8de8-014ad05e6faf/Untitled+image+(20).jpg	(from https://luxury-barber.co.uk/shop)
13:34:06	737133/737133	---M--	200	added ('OK')	image/png	etag:CKeU/efZgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/2924e0d4-87ea-4067-be57-4f179cee4acd/Untitled+image+(35).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/2924e0d4-87ea-4067-be57-4f179cee4acd/Untitled+image+(35).png	(from https://luxury-barber.co.uk/shop)
13:34:09	140068/140068	---MCZ	200	added ('OK')	text/html	etag:W/%225ebc4729d097bcc5d5f6cbb0dd5de16e--gzip%22	https://luxury-barber.co.uk/shop/p/argan-oil	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/argan-oil.html	(from https://luxury-barber.co.uk/shop)
13:34:10	144199/144199	---MCZ	200	added ('OK')	text/html	etag:W/%224a5a13869c15323b597760bd246ef92d--gzip%22	https://luxury-barber.co.uk/shop/p/package-texture-spray-volumising-dust-ocean-salt-spray	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/package-texture-spray-volumising-dust-ocean-salt-spray.html	(from https://luxury-barber.co.uk/shop)
13:34:11	91963/91963	---M--	200	added ('OK')	image/jpeg	etag:CNjO5M/erIgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/ac8f3e55-b8e7-4361-b06a-ee3c46cd6c56/Productphoto-470031828996-01-WhatsAppImage2024-09-03at18.32.11+(1).jpeg	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/ac8f3e55-b8e7-4361-b06a-ee3c46cd6c56/Productphoto-470031828996-01-WhatsAppImage2024-09-03at18.32.11+(1).jpg	(from https://luxury-barber.co.uk/shop)
13:34:15	1217286/1217286	---M--	200	added ('OK')	image/png	etag:CK7aqd3agYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/fd2229fb-1a23-4d75-94c0-194b614c8931/Untitled+image+(39).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/fd2229fb-1a23-4d75-94c0-194b614c8931/Untitled+image+(39).png	(from https://luxury-barber.co.uk/shop)
13:34:16	139863/139863	---MCZ	200	added ('OK')	text/html	etag:W/%222ac26629b19cf4bbce4b4f7e5169d627--gzip%22	https://luxury-barber.co.uk/shop/p/ocean-salt-spray	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/ocean-salt-spray.html	(from https://luxury-barber.co.uk/shop)
13:34:18	142943/142943	---MCZ	200	added ('OK')	text/html	etag:W/%22464750f70a7a4b46f142945fa6aca116--gzip%22	https://luxury-barber.co.uk/shop/p/texture-spray	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/texture-spray.html	(from https://luxury-barber.co.uk/shop)
13:34:19	1256370/1256370	---M--	200	added ('OK')	image/png	etag:CISLy6bagYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/2bc5068b-f942-4031-ac0d-8f61cb269bd3/Untitled+image+(37).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/2bc5068b-f942-4031-ac0d-8f61cb269bd3/Untitled+image+(37).png	(from https://luxury-barber.co.uk/shop)
13:34:21	140647/140647	---MCZ	200	added ('OK')	text/html	etag:W/%224ac69ce5c06d9ed4a4a4db2036ff30e3--gzip%22	https://luxury-barber.co.uk/shop/p/volumising-dust	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/volumising-dust.html	(from https://luxury-barber.co.uk/shop)
13:34:22	1708355/1708355	---M--	200	added ('OK')	image/png	etag:CJ7u6djbgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/27a154be-4d74-4ae8-9765-25605020c348/Untitled+image+(40).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/27a154be-4d74-4ae8-9765-25605020c348/Untitled+image+(40).png	(from https://luxury-barber.co.uk/shop)
13:34:25	219645/219645	---M--	200	added ('OK')	image/jpeg	etag:CNiClZHegYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/5b3e5338-7101-4a7e-a5aa-859ad324c1ac/Untitled+image+(24).jpeg	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/5b3e5338-7101-4a7e-a5aa-859ad324c1ac/Untitled+image+(24).jpg	(from https://luxury-barber.co.uk/shop)
13:34:27	144456/144456	---MCZ	200	added ('OK')	text/html	etag:W/%22fb5c499c2f22e7f50f2ef0989d39bff6--gzip%22	https://luxury-barber.co.uk/shop/p/beard-oil-beard-moisturiser	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/beard-oil-beard-moisturiser.html	(from https://luxury-barber.co.uk/shop)
13:34:28	92843/92843	---M--	200	added ('OK')	image/jpeg	etag:COfnzo/dgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/a72f9e91-2fdb-4123-a670-2960d81be292/Untitled+image+(23).jpeg	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/a72f9e91-2fdb-4123-a670-2960d81be292/Untitled+image+(23).jpg	(from https://luxury-barber.co.uk/shop)
13:34:30	139699/139699	---MCZ	200	added ('OK')	text/html	etag:W/%22ccea17e12c220fc24d8632d0ab1ee1b0--gzip%22	https://luxury-barber.co.uk/shop/p/beard-oil	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/beard-oil.html	(from https://luxury-barber.co.uk/shop)
13:34:32	1387391/1387391	---M--	200	added ('OK')	image/png	etag:CNzGmbDXgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/849f0f70-cea9-4406-a820-22c1c17ba73e/Untitled+image+(32).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/849f0f70-cea9-4406-a820-22c1c17ba73e/Untitled+image+(32).png	(from https://luxury-barber.co.uk/shop)
13:34:35	147194/147194	---MCZ	200	added ('OK')	text/html	etag:W/%229c34953ec97873e8caef5d0d6d09c104--gzip%22	https://luxury-barber.co.uk/shop/p/beard-moisturiser	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/beard-moisturiser.html	(from https://luxury-barber.co.uk/shop)
13:34:36	146827/146827	---MCZ	200	added ('OK')	text/html	etag:W/%220b3a7b1986039673a19d7a2a90ea43ab--gzip%22	https://luxury-barber.co.uk/shop/p/beard-shampoo-moisturiser-oil	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/beard-shampoo-moisturiser-oil.html	(from https://luxury-barber.co.uk/shop)
13:34:36	1116003/1116003	---M--	200	added ('OK')	image/png	etag:CNzEvpLXgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/93a263c6-254f-4c4b-a8e5-9caf27935858/Untitled+image+(31).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/93a263c6-254f-4c4b-a8e5-9caf27935858/Untitled+image+(31).png	(from https://luxury-barber.co.uk/shop)
13:34:45	146634/146634	---MCZ	200	added ('OK')	text/html	etag:W/%22a5197e3f5ddce0c62fa46cb402fd42af--gzip%22	https://luxury-barber.co.uk/shop/p/package-beard-oil-beard-shampoo-beard-wax-hair-wax	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/package-beard-oil-beard-shampoo-beard-wax-hair-wax.html	(from https://luxury-barber.co.uk/shop)
13:34:45	2381475/2381475	---M--	200	added ('OK')	image/png	etag:CPn0iMnYgYgDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/d08092bc-9521-4534-b252-47aa4e5e5aa4/Untitled+image+(33).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/d08092bc-9521-4534-b252-47aa4e5e5aa4/Untitled+image+(33).png	(from https://luxury-barber.co.uk/shop)
13:34:46	109084/109084	---M--	200	added ('OK')	image/jpeg	etag:COzc/++Kp4gDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/34656cb0-383f-4830-b1e8-d12bb2c75b0b/Productphoto-468065712388-04-WhatsAppImage2024-09-03at18.19.00.jpeg	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/34656cb0-383f-4830-b1e8-d12bb2c75b0b/Productphoto-468065712388-04-WhatsAppImage2024-09-03at18.19.00.jpg	(from https://luxury-barber.co.uk/shop)
13:34:49	135988/135988	---MCZ	200	added ('OK')	text/html	etag:W/%221b1578f1c26f4d0e64419a3c1cb1fad3--gzip%22	https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d-tpnlw-l27tj	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d-tpnlw-l27tj.html	(from https://luxury-barber.co.uk/shop)
13:34:51	148370/148370	---MCZ	200	added ('OK')	text/html	etag:W/%22dad14ed40e0da2fc3d9dfcb984c10c7a--gzip%22	https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d-tpnlw	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d-tpnlw.html	(from https://luxury-barber.co.uk/shop)
13:34:51	140593/140593	---MCZ	200	added ('OK')	text/html	etag:W/%22871c0c704a7898d7aa018c214fd57551--gzip%22	https://luxury-barber.co.uk/shop/p/beard-shampoo	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/beard-shampoo.html	(from https://luxury-barber.co.uk/shop)
